date,opponent,team,assistant,finisher,assists
2018-01-27,BOS,GSW,Stephen Curry,Klay Thompson,1
2018-01-27,BOS,GSW,Draymond Green,Stephen Curry,1
2018-01-27,BOS,GSW,Stephen Curry,Draymond Green,2
2018-01-27,BOS,GSW,Zaza Pachulia,Stephen Curry,2
2018-01-27,BOS,GSW,Draymond Green,Kevin Durant,3
2018-01-27,BOS,GSW,Kevin Durant,David West,1
2018-01-27,BOS,GSW,Andre Iguodala,Klay Thompson,1
2018-01-27,BOS,GSW,Klay Thompson,David West,1
2018-01-27,BOS,GSW,Kevin Durant,Stephen Curry,1
2018-01-27,BOS,GSW,Klay Thompson,Zaza Pachulia,1
2018-01-27,BOS,GSW,Stephen Curry,Kevon Looney,1
2018-01-27,BOS,GSW,Kevon Looney,Stephen Curry,1
2018-01-27,BOS,GSW,Klay Thompson,Draymond Green,1
2018-01-27,BOS,GSW,Draymond Green,Shaun Livingston,1
2018-01-27,BOS,GSW,Stephen Curry,David West,1
